batch,slug,reason,trails_observed,pct_observed,sources_json
"batch-02","bear-basin-nordic-center","all sources disagree or single source","[16]","{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null}","[{""strategy"":""a"",""batch"":""batch-02"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://payettelakesskiclub.org/pages/bear-basin-nordic-center""},{""strategy"":""b"",""batch"":""batch-02"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""c"",""batch"":""batch-02"",""trails"":16,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://visitmccall.org/cross-country-primer-a-locals-guide-to-nordic-skiing-in-mccall/""},{""strategy"":""d"",""batch"":""deepdive-01"",""trails"":null,""pct"":null}]"
"batch-02","bethel-village-trails","all sources disagree or single source","[33]","{""beginner"":56,""intermediate"":27,""advanced"":17,""expert"":null}","[{""strategy"":""a"",""batch"":""batch-02"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://woodsandtrails.org/""},{""strategy"":""b"",""batch"":""batch-02"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""c"",""batch"":""batch-02"",""trails"":33,""pct"":{""beginner"":56,""intermediate"":27,""advanced"":17,""expert"":null},""src"":""https://www.mainetrailfinder.com/trails/trail/bethel-village-trails""},{""strategy"":""d"",""batch"":""deepdive-01"",""trails"":null,""pct"":null}]"
"batch-04","catamount-outdoor-family-center","no data","[]","{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null}","[{""strategy"":""a"",""batch"":""batch-04"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://catamountoutdoor.org/maps-conditions/""},{""strategy"":""b"",""batch"":""batch-04"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""c"",""batch"":""batch-04"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://catamountoutdoor.org/maps-conditions/""},{""strategy"":""d"",""batch"":""deepdive-01"",""trails"":null,""pct"":null}]"
"batch-07","jackson-xc","all sources disagree or single source","[60,150]","{""beginner"":30,""intermediate"":50,""advanced"":20,""expert"":0}","[{""strategy"":""a"",""batch"":""batch-07"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""b"",""batch"":""batch-07"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""c"",""batch"":""batch-07"",""trails"":60,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://www.jacksonxc.org/""},{""strategy"":""d"",""batch"":""deepdive-03"",""trails"":150,""pct"":{""beginner"":30,""intermediate"":50,""advanced"":20,""expert"":0}}]"
"batch-07","leavenworth-winter-sports-club","all sources disagree or single source","[3,26]","{""beginner"":40,""intermediate"":40,""advanced"":20,""expert"":0}","[{""strategy"":""a"",""batch"":""batch-07"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://skileavenworth.com/webcams""},{""strategy"":""b"",""batch"":""batch-07"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""c"",""batch"":""batch-07"",""trails"":3,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://skileavenworth.com/""},{""strategy"":""d"",""batch"":""deepdive-03"",""trails"":26,""pct"":{""beginner"":40,""intermediate"":40,""advanced"":20,""expert"":0}}]"
"batch-07","loge-glacier","all sources disagree or single source","[30]","{""beginner"":35,""intermediate"":45,""advanced"":20,""expert"":0}","[{""strategy"":""a"",""batch"":""batch-07"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://www.logecamps.com/journal/glacier-area-guide""},{""strategy"":""b"",""batch"":""batch-07"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""c"",""batch"":""batch-07"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://lodgeatwhitefishlake.com/winter-adventures""},{""strategy"":""d"",""batch"":""deepdive-03"",""trails"":30,""pct"":{""beginner"":35,""intermediate"":45,""advanced"":20,""expert"":0}}]"
"batch-08","minocqua-winter-park","all sources disagree or single source","[30,86]","{""beginner"":30,""intermediate"":50,""advanced"":20,""expert"":0}","[{""strategy"":""a"",""batch"":""batch-08"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""b"",""batch"":""batch-08"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""c"",""batch"":""batch-08"",""trails"":30,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://minocquawinterpark.org/""},{""strategy"":""d"",""batch"":""deepdive-03"",""trails"":86,""pct"":{""beginner"":30,""intermediate"":50,""advanced"":20,""expert"":0}}]"
"batch-09","mount-itasca","no data","[]","{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null}","[{""strategy"":""a"",""batch"":""batch-09"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://www.mtitasca.com/""},{""strategy"":""b"",""batch"":""batch-09"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""c"",""batch"":""batch-09"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://www.mtitasca.com/""},{""strategy"":""d"",""batch"":""deepdive-04"",""trails"":null,""pct"":null}]"
"batch-10","plain-valley-trails","no data","[]","{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null}","[{""strategy"":""a"",""batch"":""batch-10"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://www.skiplain.com/""},{""strategy"":""b"",""batch"":""batch-10"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://www.skiplain.com/pvnt""},{""strategy"":""c"",""batch"":""batch-10"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://www.skiplain.com/""},{""strategy"":""d"",""batch"":""deepdive-04"",""trails"":null,""pct"":null}]"
"batch-11","quarry-road-trails","no data","[]","{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null}","[{""strategy"":""a"",""batch"":""batch-11"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://quarryroad.org/""},{""strategy"":""b"",""batch"":""batch-11"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":null},{""strategy"":""c"",""batch"":""batch-11"",""trails"":null,""pct"":{""beginner"":null,""intermediate"":null,""advanced"":null,""expert"":null},""src"":""https://quarryroad.org/winter-trails""},{""strategy"":""d"",""batch"":""deepdive-04"",""trails"":null,""pct"":null}]"
