slug,name,notes
49-degrees-north,49 Degrees North Mountain Resort,wikipedia article not found
alpine-valley-wi,Alpine Valley Resort (WI),wikipedia article not found
alpine-valley-mi,Alpine Valley Ski Area (MI),wikipedia article not found
alpine-valley-oh,Alpine Valley Ski Area (OH),wikipedia article not found; vail-owned
andes-tower-hills,Andes Tower Hills,wikipedia article not found
antelope-butte,Antelope Butte,wikipedia article not found
apple-mountain,Apple Mountain,wikipedia article not found
ascutney-outdoors,Ascutney Outdoors,wikipedia article not found
badger-mountain-wa,Badger Mountain Ski Area,wikipedia article not found
badger-pass,Badger Pass Ski Area (Yosemite),no public trail breakdown
bear-basin-nordic-center,Bear Basin Nordic Center,nordic center not standard ski resort
bear-paw,Bear Paw Ski Bowl,24 unrated runs
bear-valley-adventure-company,Bear Valley Adventure Company,nordic/cross-country center
bethel-village-trails,Bethel Village Trails,nordic/community trails
big-bear-ca,Big Bear Mountain Resort,parent brand for Snow Summit + Bear Mountain
big-rock,Big Rock,wikipedia article not found
bittersweet-ski-resort,Bittersweet Ski Resort,wikipedia article not found
black-mountain-nh,Black Mountain (NH),wikipedia has 45 trails no breakdown
black-area,Black Mountain Ski Area,duplicate of black-mountain-nh; no breakdown
blackjack-mountain,Blackjack Mountain,wikipedia article not found
boston-mills,Boston Mills Ski Resort,wikipedia article not found; vail-owned
brandywine,Brandywine Ski Resort,wikipedia article not found; vail-owned
bridger-bowl,Bridger Bowl Ski Area,wikipedia has 75 trails no breakdown
bruce-mound-winter-sports-area,Bruce Mound Winter Sports Area,wikipedia article not found
buena-vista,Buena Vista Ski Area,wikipedia article lacks breakdown
buffalo-ski-club,Buffalo Ski Club,wikipedia article not found
caberfae-peaks,Caberfae Peaks,wikipedia article not found
camp-10-area,Camp 10 Ski Area,no wikipedia article
campgaw-mountain,Campgaw Mountain,wikipedia has 12 trails no breakdown
campton-mountain,Campton Mountain,no wikipedia article
cannonsburg,Cannonsburg Ski Area,wikipedia article not found
catamount-outdoor-family-center,Catamount Outdoor Family Center,nordic/community trails
chapman-hill,Chapman Hill Ski Area,small municipal area no public breakdown
christie,Christie Mountain,no wikipedia article
christmas-mountain,Christmas Mountain Village,no wikipedia article
cloudmont-ski-resort,Cloudmont Ski Resort,no wikipedia article
cochrans-ski-area,Cochran's Ski Area,no breakdown in wiki
cooper-spur,Cooper Spur Mountain Resort,wiki has 10 trails total but no breakdown
cooper-spur-area,Cooper Spur Ski Area,wiki has 10 trails total but no breakdown
cottonwood-butte,Cottonwood Butte,7 trails total no breakdown
cranor-ski-hill,Cranor Ski Hill,no wikipedia article
crosscut-sports-center,Crosscut Mountain Sports Center,nordic only no breakdown
crotched-mountain,Crotched Mountain,vail-owned; wiki only has 25 trails total
crystal-ridge,Crystal Ridge,no wikipedia article
cuchara,Cuchara,no public breakdown
detroit,Detroit Mountain,no wikipedia article
detroit-mountain,Detroit Mountain Recreation Area,no wikipedia article
dodge-ridge,Dodge Ridge,no wikipedia article
dog-creek-lodge-nordic-center,Dog Creek Lodge & Nordic Center,nordic only
dry-hill-area,Dry Hill Ski Area,no wikipedia article
eagle-point,Eagle Point Resort,41 trails no breakdown
eagle-rock-resort,Eagle Rock Resort,no wikipedia article
echo-valley,Echo Valley Ski Area,no breakdown in wiki
elko-snobowl,Elko SnoBowl,no wikipedia article
enchanted-forest-xc,Enchanted Forest XC,nordic only
ferguson-ridge,Ferguson Ridge Ski Area,no wikipedia article
four-lakes,Four Lakes Alpine Snowsports,no wikipedia article
franconia-village-xc-area,Franconia Village XC Ski Area,nordic only
garnet-hill-xc,Garnet Hill XC,nordic only
granby-ranch,Granby Ranch,no public breakdown
great-divide,Great Divide,no wikipedia article
great-glen-trails-outdoor-center,Great Glen Trails Outdoor Center,nordic only
haymaker-nordic-center,Haymaker Nordic Center,nordic only
hermon-mountain,Hermon Mountain,no wikipedia article
hidden-valley-mo,Hidden Valley Ski Resort (MO),vail-owned; no wiki article found
high-point-xc-center,High Point XC Ski Center,nordic only
hoedown-hill,Hoedown Hill,no wikipedia article
holiday-mountain,Holiday Mountain,no wikipedia article
holimont,HoliMont,no wikipedia infobox; 55 trails per website but no breakdown
homestake-lodge,Homestake Lodge,nordic likely no website
huff-hills,Huff Hills Ski Area,no wikipedia article
